Date,cad_oas,us_hy_oas,us_ig_oas,tsx,vix,us_3m_10y,us_growth_surprises,us_inflation_surprises,us_lei_yoy,us_hard_data_surprises,us_equity_revisions,us_economic_regime,cad_ig_er_index,us_hy_er_index,us_ig_er_index,spx_1bf_eps,spx_1bf_sales,tsx_1bf_eps,tsx_1bf_sales
2004-03-11,66.093905,411.72118,97.257303,8503.88,20.67,371.551,0.34706,-0.03753,9.7,-0.0265,0.17,1.0,103.06257977698311,108.94004075037769,103.19150861099952,65.5276,684.7453,565.8579,6113.5497
2004-03-12,68.654393,410.72518,97.650384,8592.04,18.3,376.828,0.32826,-0.03734,9.7,0.0011,0.16,1.0,102.99763375916802,108.99381253229878,103.15746395217798,65.619,684.9032,565.8579,6113.5497
2004-03-15,65.002977,411.772462,97.672623,8434.41,21.13,375.915,0.31786,-0.03715,9.7,-0.0085,0.16,1.0,102.98780410827872,108.93997607735488,103.11806701516657,65.6365,684.7656,565.8579,6113.5497
2004-03-16,65.733218,424.694814,97.735739,8503.27,20.34,370.576,0.31002,-0.03697,9.7,-0.0765,0.16,1.0,102.98503646679832,108.31947678896287,103.13556460954196,65.6488,684.9558,565.8579,6113.5497
2004-03-17,65.582799,423.123165,97.371111,8601.72,18.11,374.785,0.30847,0.03571,9.7,-0.0765,0.16,1.0,102.97125172052448,108.38772765492016,103.17222348368453,65.8759,685.4153,565.8579,6113.5497
2004-03-18,68.517267,418.147747,96.933461,8555.9,18.53,377.803,0.28995,0.03554,9.7,-0.0767,0.16,1.0,102.99289628073502,108.64142676952062,103.1926428481246,65.9598,685.6977,565.8579,6113.5497
2004-03-19,70.126013,415.329876,96.42445,8583.81,19.15,378.606,0.2885,0.03536,9.7,-0.0767,0.19,1.0,102.98283427955796,108.80686145799024,103.22690011190318,66.0221,685.8674,565.8579,6113.5497
2004-03-22,63.692374,424.102511,97.337451,8478.48,21.58,373.269,0.28706,0.03518,9.7,-0.0767,0.19,1.0,102.93434914872012,108.41742682237239,103.18080508668272,66.2451,684.4822,565.8579,6113.5497
2004-03-23,68.900917,426.488428,97.454909,8474.52,20.67,372.541,0.28563,0.03501,9.7,-0.0767,0.19,1.0,102.96684014935344,108.30954016266352,103.17436604626113,66.3561,684.7657,565.8579,6113.5497
2004-03-24,67.812767,427.764752,97.675917,8420.85,19.81,372.398,0.2921,0.03483,9.7,-0.015,0.19,1.0,102.94972230735917,108.21939473810687,103.15914002232459,66.4096,684.9157,565.8579,6113.5497
2004-03-25,68.658149,424.389444,97.860953,8513.91,17.88,374.376,0.31165,0.03466,9.7,-0.0157,0.19,1.0,102.95687890184101,108.36917965121233,103.1485345439831,66.5617,688.9369,565.8579,6113.5497
2004-03-26,76.012642,413.846214,96.910313,8509.56,17.33,382.35,0.33354,0.01136,9.7,-0.0207,0.15,1.0,103.03346093981772,108.97061026325538,103.18919575804475,66.5961,688.8649,565.8579,6113.5497
2004-03-29,72.971989,407.446984,96.814376,8555.23,16.5,387.943,0.33187,0.0113,9.7,-0.0207,0.15,1.0,103.03917614003669,109.33609614968532,103.22095439754688,66.6868,688.6481,565.8579,6113.5497
2004-03-30,67.825117,406.825972,96.602516,8622.24,16.28,387.69,0.33725,0.01125,9.7,-0.0207,0.15,1.0,103.00720535730419,109.41085597173367,103.23593066226206,66.7496,688.5353,565.8579,6113.5497
2004-03-31,64.797821,411.934331,97.108244,8585.93,16.74,383.253,0.29172,0.01119,11.2,-0.0549,0.15,1.0,103.01798188702095,109.10031584701154,103.2315970301527,66.7956,688.5985,565.8579,6113.5497
2004-04-01,69.913577,407.446315,96.345562,8652.08,16.65,386.357,0.30922,0.03521,11.2,-0.0718,0.15,1.0,103.03808738359993,109.45408933939751,103.25353559117885,67.0898,684.5884,565.8579,6113.5497
2004-04-02,85.009206,389.850455,94.420724,8798.75,15.64,403.318,0.3199,0.03503,11.2,-0.0382,0.14,1.0,103.16996570576057,110.35934394716809,103.34795283335394,67.0498,682.8649,565.8579,6113.5497
2004-04-05,71.090063,385.486102,93.846571,8858.49,14.97,407.05,0.3183,0.03486,11.2,-0.0382,0.14,1.0,103.06776859070955,110.65822867779853,103.37581853160421,67.1112,681.7866,565.8579,6113.5497
2004-04-06,65.699779,388.056609,93.954674,8832.71,15.32,406.734,0.31671,0.03468,11.2,-0.0382,0.14,1.0,102.99387708681685,110.55395384198997,103.38506581517173,67.1335,682.0618,565.8579,6113.5497
2004-04-07,65.913022,385.815239,93.466695,8807.59,15.76,407.029,0.30842,0.05236,11.2,-0.0959,0.14,1.0,103.00448706455747,110.65982796492162,103.41520927623823,67.164,681.6205,565.8579,6113.5497
2004-04-08,68.197719,382.290112,92.962631,8833.48,16.26,409.529,0.34367,0.0521,11.2,-0.1545,0.14,1.0,103.00712619371059,110.83984258349686,103.43919028973984,67.2291,681.61,565.8579,6113.5497
2004-04-09,68.197719,382.290112,92.962631,8833.48,16.26,409.529,0.34196,0.05184,11.2,-0.1545,0.19,1.0,103.00712619371059,110.83984258349686,103.43919028973984,67.2613,681.5965,565.8579,6113.5497
2004-04-12,68.826982,377.594093,92.504781,8898.77,15.28,412.954,0.34025,0.05158,11.2,-0.1545,0.19,1.0,103.0508440312555,111.06093114846627,103.50050617858233,67.3867,681.7066,565.8579,6113.5497
2004-04-13,78.477042,371.581821,92.108271,8763.58,17.26,412.954,0.38778,0.05132,11.2,0.0128,0.19,1.0,103.10646005410972,111.39400817740402,103.51100535444527,67.3608,681.7764,565.8579,6113.5497
2004-04-14,71.734284,372.898837,91.505074,8640.12,15.62,420.23,0.38799,0.26744,11.2,0.0128,0.19,1.0,103.06443446689046,111.36733658434105,103.5594122005576,67.4019,682.4462,565.8579,6113.5497
2004-04-15,66.887869,370.170249,92.213278,8637.17,15.74,426.534,0.42237,0.26611,11.2,0.044,0.19,1.0,103.04009628830005,111.48325475655909,103.50786994736069,67.4019,682.2103,565.8579,6113.5497
2004-04-16,61.368508,376.384777,92.70346,8695.35,14.94,423.23,0.39433,0.26478,11.2,0.0281,0.27,1.0,103.06369423588531,111.2505524513093,103.48210243298236,67.4797,682.1903,565.8579,6113.5497
2004-04-19,69.153315,372.436064,92.491376,8702.82,15.42,427.023,0.39235,0.26345,11.2,0.0281,0.27,1.0,103.1421433009528,111.42573303546865,103.50131428383158,67.6224,688.5615,565.8579,6113.5497
2004-04-20,72.721973,368.444944,92.336874,8602.98,16.67,426.333,0.39039,0.26213,11.2,0.0281,0.27,1.0,103.16891293277546,111.60676049935007,103.50952537624933,67.6071,688.8393,565.8579,6113.5497
2004-04-21,63.839332,369.18542,91.904554,8573.05,15.6,425.041,0.38844,0.26082,11.2,0.0281,0.27,1.0,103.1099689546939,111.5466156843011,103.54743098237287,67.7734,689.7956,565.8579,6113.5497
2004-04-22,61.064928,370.107464,91.31965,8679.98,14.61,424.238,0.38243,0.25952,11.2,0.0161,0.27,1.0,103.10514820027278,111.4925698641478,103.58511159878464,67.853,690.3342,565.8579,6113.5497
2004-04-23,69.092431,360.536696,89.383376,8667.87,14.01,425.893,0.41833,0.25822,11.2,0.06,0.36,1.0,103.2029388846459,111.94518346612148,103.68290059044803,68.0848,690.1136,565.8579,6113.5497
2004-04-26,64.905297,361.13896,88.842118,8616.15,14.77,426.54,0.43039,0.25693,11.2,0.0954,0.36,1.0,103.18463153255028,111.91644014402313,103.72153586504058,68.3233,690.1772,565.8579,6113.5497
2004-04-27,62.555029,363.562545,89.481795,8535.02,15.07,425.034,0.44171,0.25565,11.2,0.0954,0.36,1.0,103.21269451243472,111.79302757423108,103.68066823839932,68.3694,690.2347,565.8579,6113.5497
2004-04-28,69.033747,359.667387,89.558255,8234.85,16.29,432.887,0.4395,0.25437,11.2,0.0954,0.36,1.0,103.26991950962655,111.97041581038897,103.64629435151325,68.4852,690.3343,565.8579,6113.5497
2004-04-29,64.814511,361.72593,90.767498,8231.93,16.6,437.766,0.42077,0.28998,11.2,0.0939,0.36,1.0,103.2606522286814,111.86773806939762,103.56348265662793,68.6231,692.3142,565.8579,6113.5497
2004-04-30,54.22657,365.997318,91.734787,8243.97,17.19,431.802,0.43103,0.24927,11.8,0.0741,0.29,1.0,103.16331493579897,111.64961130964178,103.5032008948094,68.6801,692.1274,565.8579,6113.5497
2004-05-03,62.836572,371.356474,91.893103,8257.6,16.62,430.56,0.4427,0.26608,11.8,0.0952,0.29,1.0,103.2173466586824,111.46294961970642,103.50628676287491,68.8504,692.3361,565.8579,6113.5497
2004-05-04,68.411256,375.284296,92.725034,8455.85,16.55,434.83,0.47523,0.26475,11.8,0.0607,0.29,1.0,103.21388299443744,111.27834321651255,103.45467742558961,68.9116,692.4191,565.8579,6113.5497
2004-05-05,67.875709,374.195527,93.571146,8457.3,15.77,437.459,0.47286,0.26343,11.8,0.0607,0.29,1.0,103.21696626219365,111.30523513631421,103.40877642819402,68.9083,694.8138,565.8579,6113.5497
2004-05-06,65.945936,380.952305,97.295782,8427.69,17.05,437.434,0.47591,0.27435,11.8,0.0804,0.29,1.0,103.1742425960126,110.98479126988057,103.17254135905718,68.9223,695.0536,565.8579,6113.5497
